Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
20,101,73,2,0,27.39,3,bowled,3,,v England,Melbourne,26-Dec-10
44,114,83,6,0,53.01,3,caught,1,,v Sri Lanka,Galle,31-Aug-11
4,14,9,1,0,44.44,3,caught,3,,v Sri Lanka,Galle,31-Aug-11
48,119,91,6,0,52.74,4,caught,1,,v Sri Lanka,Colombo (SSC),16-Sep-11
28,98,80,3,0,35,4,caught,3,,v Sri Lanka,Colombo (SSC),16-Sep-11
8,51,25,0,1,32,4,lbw,1,,v South Africa,Cape Town,9-Nov-11
0,23,12,0,0,0,3,lbw,3,,v South Africa,Cape Town,9-Nov-11
0,5,3,0,0,0,4,lbw,2,,v South Africa,Johannesburg,17-Nov-11
62,218,138,6,0,44.92,4,caught,4,,v South Africa,Johannesburg,17-Nov-11
78,229,140,12,0,55.71,4,lbw,2,,v New Zealand,Brisbane,1-Dec-11
DNB,-,-,-,-,-,-,-,4,,v New Zealand,Brisbane,1-Dec-11
5,29,16,0,0,31.25,4,lbw,2,,v New Zealand,Hobart,9-Dec-11
16,51,30,2,0,53.33,4,caught,4,,v New Zealand,Hobart,9-Dec-11
62,148,94,6,0,65.95,4,caught,1,,v India,Melbourne,26-Dec-11
60,151,97,3,0,61.85,4,caught,3,,v India,Melbourne,26-Dec-11
134,332,225,14,0,59.55,4,caught,2,,v India,Sydney,3-Jan-12
7,8,6,1,0,116.66,4,bowled,2,,v India,Perth,13-Jan-12
221,516,404,21,0,54.7,4,caught,1,,v India,Adelaide,24-Jan-12
60*,146,96,5,0,62.5,4,not out,3,,v India,Adelaide,24-Jan-12
4,20,13,1,0,30.76,4,run out,2,,v West Indies,Bridgetown,7-Apr-12
14,23,20,1,0,70,4,bowled,4,,v West Indies,Bridgetown,7-Apr-12
7,30,26,0,0,26.92,4,caught,1,,v West Indies,Port of Spain,15-Apr-12
41,131,85,3,0,48.23,4,caught,3,,v West Indies,Port of Spain,15-Apr-12
23,88,60,2,0,38.33,4,caught,1,,v West Indies,Roseau,23-Apr-12
57,192,130,4,0,43.84,4,caught,3,,v West Indies,Roseau,23-Apr-12
0,9,5,0,0,0,4,caught,2,,v South Africa,Brisbane,9-Nov-12
4,6,3,1,0,133.33,4,bowled,1,,v South Africa,Adelaide,22-Nov-12
16,40,34,3,0,47.05,4,bowled,3,,v South Africa,Adelaide,22-Nov-12
4,17,7,0,0,57.14,5,lbw,2,,v South Africa,Perth,30-Nov-12
8,40,23,2,0,34.78,4,caught,4,,v South Africa,Perth,30-Nov-12
